3dr:type,1
4wd_only,3
AIN,9713
ALAND,332
APN,49
AREA,9234
AREAID,335
AWATER,332
Acres,1
Admin_Type,2
Area_sq_mi,1
BLD_ID,9924
BLD_STATUS,368
BOUNDARYST,3
Building_1,2
Building_F,2
Building_I,2
CCR,1
CCR_Int,1
CODE,9272
COUNTYFP,317
Common_Nam,3
DATE_,9924
DFG_URL,1
ELEV,9234
Edit_Date,2
FAA,1
FAA:LFSN,27
FAA:type,6
FG:COND_INDEX,3
FG:GPS_DATE,3
FG:ORG_CODE,3
FG:PROP_NO,3
FG:RTE,3
FG:area,3
FG:lane_miles,3
FG:perimeter,3
FG:photo,3
FG:route,3
FG:rte_description,3
FG:station,3
FG:visitors,3
FIXME,1733
FIXME:NHS,43
FIXME:access,1
FIXME:bicycle,91
FIXME:cycleway,33
FIXME:highway,16
FIXME:landuse,1
FIXME:lanes,32
FIXME:man_made,2
FIXME:maxspeed,20
FIXME:name,6
FIXME:natural,5
FIXME:old_ref,20
FIXME:old_ref:legislative,3
FIXME:ref,9
FIXME:tracktype,3
FMMP_modified,669
FMMP_reviewed,669
FULLNAME,1
Federal_En,2
GIS_ACRES,3
Geometry_I,2
HEIGHT,11309
Hectares,1
ID,16
InBld_FID,368
Is_Extant,2
Is_Sensiti,2
Locust,1
MTFCC,333
Map_Method,2
Map_Source,2
Modsuts,1
NHD:ComID,789
NHD:FCode,964
NHD:FDate,18
NHD:FTYPE,18
NHD:FType,946
NHD:GNIS_ID,13
NHD:GNIS_Name,13
NHD:Permanent_,18
NHD:RESOLUTION,771
NHD:ReachCode,962
NHD:Resolution,18
NHD:way_id,771
NHS,3251
NOTES,2336
NRHP,3
Name,37
NavigateLA:highway,18
Note,1
OBJECTID,2
OBJECTID_1,2
Open_Date,45
PLSS:state,1
Polygon_Ty,2
SHAPE_Area,5
SHAPE_Leng,5
SHORTNAME,1
SOURCE,9204
STATEFP,317
Services offered,1
Shape_Area,9924
Shape_Leng,9924
Source,1
Source_Dat,2
Specialist,1
Street,1
Study_Regi,1
SustainableWorks,1
TODO,1
TYPE,2269
Tiger:MTFCC,454
Type,3
UPA 13,1
Unit_Code,2
WILDERNESS,3
YDS,2
_id,5953758
abandoned,16
abandoned:access,1
abandoned:aeroway,5
abandoned:amenity,2
abandoned:highway,8
abandoned:hov,1
abandoned:lanes,1
abandoned:oneway,1
abandoned:tourism,1
abbr_name,2
abutters,532
acc,1
access,25439
access:conditional,16
access:disabled,6
access:emergency,1
access:lanes,2
access:lanes:backward,10
access:lanes:forward,8
accuracy,51
accuracy:horizontal,1
accuracy:vertical,1
acres,556
addr,4
address,5953758
admin_level,681
administrative,8
advertising,3
aerialway,163
aerialway:occupancy,43
aerodrome,1
aerodrome:type,2
aeroway,1896
agency,36
aircraft:type,1
airlines,2
alcohol,14
alt_name,1462
alt_name_1,12
alt_name_2,3
alt_ref,1
amenity,35675
amenity_1,4
amenity_2,1
american_football,3
amusement,1
animal,2
animal_boarding,2
animal_keeping,5
animal_keeping:type,9
ant_sys_ref,48
ant_sys_ref:day,12
ant_sys_ref:night,12
antenna,47
apn,370
architect,2
area,6789
area:highway,25
artist_name,7
artwork:type,2
artwork_type,22
asset_ref,2
atm,375
atm:drive_through,1
atm:network,9
atm:operator,5
attendant,1
attraction,78
attribution,1792
authorized,3
automated,71
automatic,1
backcountry,3
backrest,135
bad_maxspeed,160
bad_name,1
bak:fac_type1,1
bak:fac_type2,1
balcony,1
bar,15
bar:name,1
barbed_wire,1
barn,1
barrier,18170
barrier:key,35
barrier:keypad,6
barrier:magnetic_stripe,4
barrier:personnel,8
barrier:rfid,1
baseball,6
basin,31
beacon,53
beacon:colour,40
beacon:shape,1
beacon:text,1
bench,51
bicycle,16515
bicycle:access:note,11
bicycle:lanes:backward,10
bicycle:lanes:forward,8
bicycle_parking,37
bicycle_road,4
bike,8
bing,1
bitcoin:address,1
block,6
block_type,5
board_type,27
boat,195
bollard,13
books,5
border_type,444
bottle,27
boundary,806
boundary:type,4
boundary_type,19
branch,34
branch:type,2
branch_type,1
brand,576
brewery,1
brewery:minage,1
bridge,10519
bridge:alt_name,1
bridge:name,1
bridge_name,1001
bridge_ref,1043
bridge_type,39
builder,82
building,135681
building:color,41
building:colour,83
building:colour_1,1
building:facade,1
building:facade:material,1
building:flats,83
building:height,7
building:historic,1
building:levels,1820
building:levels:aboveground,8
building:levels:belowground,1
building:levels:underground,2
building:material,98
building:min_level,7
building:min_levels,1
building:part,142
building:use,477
building_1,113
building_2,1
building_type,32
buoy,74
buoy:colour,73
buoy:shape,1
buoy:text,11
bus,362
busway,3
button,1
button_operated,12
cabins,2
cables,831
caltrans:district,200
caltrans:dynsegpm,83
caltrans:pctuse,113
caltrans:type,83
camera:mount,18
camera:type,18
